,imdb_score,director_name,movie_title
4253,8.4,Robert Mulligan,To Kill a Mockingbird 
1536,8.4,Richard Marquand,Star Wars: Episode VI - Return of the Jedi 
2970,8.4,Wolfgang Petersen,Das Boot 
1504,8.4,Moustapha Akkad,Lion of the Desert 
4659,8.4,Asghar Farhadi,A Separation 
1298,8.4,Jean-Pierre Jeunet,Amélie 
3871,8.4,,Anne of Green Gables             
3661,8.4,,The Inbetweeners             
2323,8.4,Hayao Miyazaki,Princess Mononoke 
3849,8.4,Darren Aronofsky,Requiem for a Dream 
3623,8.4,,Veronica Mars             
3685,8.4,Rakeysh Omprakash Mehra,Rang De Basanti 
2362,8.4,Stanley Kubrick,The Shining 
3807,8.4,,Psych             
58,8.4,Andrew Stanton,WALL·E 
1329,8.4,S.S. Rajamouli,Baahubali: The Beginning 
4155,8.3,Billy Wilder,Some Like It Hot 
1416,8.3,Curtis Hanson,L.A. Confidential 
3079,8.3,Stanley Kubrick,2001: A Space Odyssey 
4077,8.3,Stanley Kramer,Judgment at Nuremberg 
4069,8.3,Billy Wilder,The Apartment 
2223,8.3,Michel Gondry,Eternal Sunshine of the Spotless Mind 
4688,8.3,Steve James,Hoop Dreams 
588,8.3,Quentin Tarantino,Inglourious Basterds 
3668,8.3,George Roy Hill,The Sting 
1906,8.3,Brian De Palma,Scarface 
2829,8.3,Oliver Hirschbiegel,Downfall 
1039,8.3,Steven Spielberg,Indiana Jones and the Last Crusade 
3089,8.3,Gus Van Sant,Good Will Hunting 
4972,8.3,Sut Jhally,"Peace, Propaganda & the Promised Land "
2425,8.3,Martin Scorsese,Raging Bull 
4178,8.3,Stanley Donen,Singin' in the Rain 
4885,8.3,King Vidor,The Big Parade 
2866,8.3,Lenny Abrahamson,Room 
67,8.3,Pete Docter,Up 
1588,8.3,John Lasseter,Toy Story 
1947,8.3,,Shaun the Sheep             
3117,8.3,Guy Ritchie,Snatch 
4286,8.3,Charles Ferguson,No End in Sight 
4535,8.3,Martin Scorsese,Taxi Driver 
4274,8.3,Charles Ferguson,Inside Job 
3643,8.3,Tony Kaye,Lake of Fire 
3903,8.3,John Sturges,The Great Escape 
4795,8.3,Terry Gilliam,Monty Python and the Holy Grail 
3017,8.3,Guy Ritchie,Snatch 
43,8.3,Lee Unkrich,Toy Story 3 
2407,8.3,Milos Forman,Amadeus 
120,8.3,Christopher Nolan,Batman Begins 
4774,8.3,Justin Paul Miller,The Sound and the Shadow 
4033,8.3,Thomas Vinterberg,The Hunt 
3397,8.3,,Preacher             
1133,8.3,,The Returned             
2760,8.3,Clint Eastwood,Unforgiven 
543,8.3,,Life             
2734,8.3,Fritz Lang,Metropolis 
78,8.3,Pete Docter,Inside Out 
4000,8.2,Juan José Campanella,The Secret in Their Eyes 
2250,8.2,Sean Penn,Into the Wild 
1359,8.2,John Carpenter,The Thing 
508,8.2,Ron Howard,A Beautiful Mind 
4458,8.2,Guy Ritchie,"Lock, Stock and Two Smoking Barrels "
3550,8.2,Denis Villeneuve,Incendies 
4585,8.2,Joshua Oppenheimer,The Act of Killing 
3970,8.2,Victor Fleming,Gone with the Wind 
4945,8.2,Amal Al-Agroobi,The Brain That Sings 
4050,8.2,Danny Boyle,Trainspotting 
4474,8.2,Alfred Hitchcock,Rebecca 
4824,8.2,Frank Capra,It Happened One Night 
2703,8.2,Joel Coen,The Big Lebowski 
308,8.2,Martin Scorsese,The Wolf of Wall Street 
920,8.2,Martin Scorsese,Casino 
2047,8.2,Hayao Miyazaki,Howl's Moving Castle 
1777,8.2,Ridley Scott,Blade Runner 
2551,8.2,Guillermo del Toro,Pan's Labyrinth 
1978,8.2,Gavin O'Connor,Warrior 
98,8.2,Hideaki Anno,Godzilla Resurgence 
204,8.2,Hideaki Anno,Godzilla Resurgence 
93,8.2,Dean DeBlois,How to Train Your Dragon 
3650,8.2,,Emma             
4444,8.2,Frank Lotito,Growing Up Smith 
1754,8.2,John McTiernan,Die Hard 
4787,8.2,Joe Kenemore,Rise of the Entrepreneur: The Search for a Better Way 
3604,8.2,,War & Peace             
1710,8.2,,Trapped             
338,8.2,Andrew Stanton,Finding Nemo 
2629,8.2,Michael Cimino,The Deer Hunter 
4404,8.2,Frank Capra,Mr. Smith Goes to Washington 
27,8.2,Anthony Russo,Captain America: Civil War 
3713,8.2,David Lynch,The Elephant Man 
3490,8.2,,Buffy the Vampire Slayer             
4803,8.2,,Home Movies             
4066,8.2,David Lean,The Bridge on the River Kwai 
4809,8.2,Ingmar Bergman,Cries & Whispers 
4638,8.2,Elia Kazan,On the Waterfront 
1869,8.2,Clint Eastwood,Gran Torino 
960,8.2,James McTeigue,V for Vendetta 
4160,8.2,Rajkumar Hirani,Lage Raho Munna Bhai 
5001,8.2,Martin Scorsese,The Last Waltz 
4530,8.1,John G. Avildsen,Rocky 
4281,8.1,,Strangers with Candy             
278,8.1,Ridley Scott,The Martian 
4289,8.1,David Sington,In the Shadow of the Moon 
4271,8.1,Kevin Macdonald,Touching the Void 
1578,8.1,Wes Anderson,The Grand Budapest Hotel 
4267,8.1,Alejandro G. Iñárritu,Amores Perros 
2590,8.1,Lasse Hallström,Hachi: A Dog's Tale 
3582,8.1,Oliver Stone,Platoon 
1084,8.1,Denis Villeneuve,Prisoners 
3048,8.1,Stanley Kubrick,Barry Lyndon 
2651,8.1,Rob Reiner,The Princess Bride 
2614,8.1,Morten Tyldum,The Imitation Game 
238,8.1,Pete Docter,"Monsters, Inc. "
4348,8.1,Jehane Noujaim,The Square 
1181,8.1,M. Night Shyamalan,The Sixth Sense 
2594,8.1,,Lilyhammer             
1213,8.1,Frank Miller,Sin City 
3854,8.1,Richard Kelly,Donnie Darko 
3575,8.1,James Cameron,The Terminator 
1061,8.1,Andrei Tarkovsky,Solaris 
4838,8.1,Michael Roemer,Nothing But a Man 
2194,8.1,Tom McCarthy,Spotlight 
4461,8.1,Thomas Vinterberg,The Celebration 
3584,8.1,George Roy Hill,Butch Cassidy and the Sundance Kid 
1604,8.1,Clint Eastwood,Million Dollar Baby 
685,8.1,,The Missing             
4920,8.1,Sharon Greytak,Archaeology of a Woman 
2480,8.1,Terry George,Hotel Rwanda 
4157,8.1,Victor Fleming,The Wizard of Oz 
4690,8.1,Joseph Kosinski,Destiny 
2088,8.1,Richard Attenborough,Gandhi 
4687,8.1,Fred Zinnemann,High Noon 
4682,8.1,Bernardo Bertolucci,The Conformist 
2830,8.1,Alejandro Amenábar,The Sea Inside 
812,8.1,Tim Miller,Deadpool 
3362,8.1,Rob Reiner,Stand by Me 
4912,8.1,Carl Theodor Dreyer,Ordet 
1911,8.1,Paul Thomas Anderson,There Will Be Blood 
4061,8.1,Richard Brooks,Cat on a Hot Tin Roof 
2870,8.1,Niels Arden Oplev,Del 1 - Män som hatar kvinnor             
128,8.1,George Miller,Mad Max: Fury Road 
4041,8.1,John Ford,The Man Who Shot Liberty Valance 
855,8.1,Quentin Tarantino,Kill Bill: Vol. 1 
4034,8.1,Bob Clark,A Christmas Story 
3969,8.1,Sidney Lumet,Network 
2755,8.1,Harold Ramis,Groundhog Day 
1373,8.1,Ron Howard,Rush 
3423,8.1,Katsuhiro Ôtomo,Akira 
1875,8.1,Tate Taylor,The Help 
95,8.1,James Gunn,Guardians of the Galaxy 
1885,8.1,Ethan Coen,No Country for Old Men 
4190,8.1,Richard Linklater,Before Sunrise 
794,8.1,Joss Whedon,The Avengers 
3553,8.1,José Padilha,Elite Squad 
183,8.1,Paul Greengrass,The Bourne Ultimatum 
205,8.1,Gore Verbinski,Pirates of the Caribbean: The Curse of the Black Pearl 
3881,8.1,,Animal Kingdom             
2914,8.1,Je-kyu Kang,Tae Guk Gi: The Brotherhood of War 
697,8.1,Steven Spielberg,Jurassic Park 
3889,8.1,Woody Allen,Annie Hall 
17,8.1,Joss Whedon,The Avengers 
2174,8.1,Steve McQueen,12 Years a Slave 
715,8.1,David Fincher,Gone Girl 
4238,8.1,William Wyler,The Best Years of Our Lives 
719,8.1,Peter Weir,The Truman Show 
452,8.1,Martin Scorsese,Shutter Island 
4708,8.1,Michael Wadleigh,Woodstock 
179,8.1,Alejandro G. Iñárritu,The Revenant 
2835,8.0,Darren Aronofsky,Black Swan 
1868,8.0,Barry Levinson,Rain Man 
3741,8.0,Edgar Wright,Shaun of the Dead 
2916,8.0,William Friedkin,The Exorcist 
4664,8.0,Georg Wilhelm Pabst,Pandora's Box 
4716,8.0,Lance McDaniel,Light from the Darkroom 
2712,8.0,Martin McDonagh,In Bruges 
2700,8.0,Terry Gilliam,Brazil 
4476,8.0,Billy Wilder,The Lost Weekend 
1217,8.0,Oliver Stone,JFK 
1747,8.0,Ron Clements,Aladdin 
2739,8.0,Andrey Zvyagintsev,The Return 
391,8.0,Ron Howard,Cinderella Man 
2907,8.0,Lars von Trier,Dancer in the Dark 
349,8.0,Brad Bird,The Incredibles 
2802,8.0,Julian Schnabel,The Diving Bell and the Butterfly 
2917,8.0,Steven Spielberg,Jaws 
286,8.0,Martin Campbell,Casino Royale 
2944,8.0,Martin Campbell,Casino Royale 
3630,8.0,Sam Peckinpah,The Wild Bunch 
307,8.0,Edward Zwick,Blood Diamond 
3714,8.0,Jean-Marc Vallée,Dallas Buyers Club 
1782,8.0,Jacques Perrin,Winged Migration 
2937,8.0,Franklin J. Schaffner,Patton 
2898,8.0,Tony Scott,True Romance 
2723,8.0,David Lynch,Mulholland Drive 
2884,8.0,Stephen Chbosky,The Perks of Being a Wallflower 
911,8.0,Steven Spielberg,Catch Me If You Can 
3280,8.0,Norman Jewison,Fiddler on the Roof 
2356,8.0,Kevin Costner,Dances with Wolves 
2539,8.0,Peter Weir,Dead Poets Society 
4261,8.0,Robert Rossen,The Hustler 
3179,8.0,David Lynch,The Straight Story 
3887,8.0,George A. Romero,Night of the Living Dead 
2762,8.0,Danny Boyle,Slumdog Millionaire 
2058,8.0,Spike Jonze,Her 
1501,8.0,Taylor Hackford,"Blood In, Blood Out "
3821,8.0,Billy Bob Thornton,Sling Blade 
3287,8.0,Michael Moore,Sicko 
4884,8.0,Kristin Rizzo,Give Me Shelter 
4158,8.0,Mel Brooks,Young Frankenstein 
160,8.0,J.J. Abrams,Star Trek 
3344,8.0,Karan Johar,My Name Is Khan 
4897,8.0,Sergio Leone,A Fistful of Dollars 
4144,8.0,Walter Salles,Central Station 
3906,8.0,Richard Linklater,Boyhood 
3359,8.0,Robert Wise,The Sound of Music 
4096,8.0,Terrence Malick,Days of Heaven 
4914,8.0,Richard Schenkman,The Man from Earth 
4054,8.0,Michael Moore,Bowling for Columbine 
851,8.0,Gabriele Muccino,The Pursuit of Happyness 
4040,8.0,Roman Polanski,Rosemary's Baby 
119,8.0,Brad Bird,Ratatouille 
858,8.0,Quentin Tarantino,Kill Bill: Vol. 2 
1374,8.0,Paul Thomas Anderson,Magnolia 
3992,8.0,Richard Brooks,In Cold Blood 
3429,8.0,Bruce Beresford,Mr. Church 
1334,8.0,Joss Whedon,Serenity 
4951,8.0,George A. Romero,Night of the Living Dead 
4266,8.0,Richard Linklater,Before Sunset 
3026,8.0,David Lean,Doctor Zhivago 
4810,8.0,D.W. Griffith,Intolerance: Love's Struggle Throughout the Ages 
2607,8.0,Tom Hooper,The King's Speech 
4358,8.0,Elia Kazan,A Streetcar Named Desire 
3456,8.0,Vincent Paronnaud,Persepolis 
1603,8.0,Clint Eastwood,Mystic River 
1601,8.0,Neill Blomkamp,District 9 
47,8.0,Bryan Singer,X-Men: Days of Future Past 
1008,8.0,Brad Bird,The Iron Giant 
602,8.0,Tim Burton,Big Fish 
4387,8.0,Frank Capra,You Can't Take It with You 
4284,8.0,Ari Folman,Waltz with Bashir 
223,8.0,Ang Lee,Life of Pi 
4826,8.0,Lauren Lazin,Tupac: Resurrection 
2545,8.0,Michel Hazanavicius,The Artist 
3983,7.9,John Schlesinger,Midnight Cowboy 
845,7.9,Paul Greengrass,Captain Phillips 
3361,7.9,Jonathan Dayton,Little Miss Sunshine 
3084,7.9,,Lovesick             
4082,7.9,Richard Linklater,Before Midnight 
4076,7.9,Richard Brooks,Elmer Gantry 
3029,7.9,David O. Russell,The Fighter 
3510,7.9,Yash Chopra,Veer-Zaara 
4415,7.9,Fabián Bielinsky,Nine Queens 
3080,7.9,Steven Spielberg,E.T. the Extra-Terrestrial 
3677,7.9,Christophe Barratier,The Chorus 
1713,7.9,Edward Zwick,Glory 
3680,7.9,Spike Lee,Do the Right Thing 
4640,7.9,Cristian Mungiu,"4 Months, 3 Weeks and 2 Days "
525,7.9,Alfonso Cuarón,Children of Men 
1884,7.9,Brian De Palma,The Untouchables 
927,7.9,Andrew Adamson,Shrek 
3968,7.9,Fred Zinnemann,A Man for All Seasons 
1871,7.9,Pierre Morel,Taken 
4396,7.9,Francis Ford Coppola,The Conversation 
3452,7.9,Paul Haggis,Crash 
3768,7.9,Duncan Jones,Moon 
2919,7.9,Stéphane Aubier,Ernest & Celestine 
3357,7.9,Dan Gilroy,Nightcrawler 
962,7.9,,Unforgotten             
3174,7.9,,Bones             
1748,7.9,F. Gary Gray,Straight Outta Compton 
3193,7.9,Paul Haggis,Crash 
706,7.9,Quentin Tarantino,The Hateful Eight 
3864,7.9,Lukas Moodysson,Lilya 4-Ever 
4304,7.9,,Eureka             
716,7.9,Doug Liman,The Bourne Identity 
1171,7.9,Yimou Zhang,Hero 
3264,7.9,Michael Haneke,Amour 
3535,7.9,Troy Duffy,The Boondock Saints 
639,7.9,Michael Mann,The Insider 
1802,7.9,,Limitless             
1807,7.9,John Landis,The Blues Brothers 
1735,7.9,James Mangold,Walk the Line 
4499,7.9,Anna Muylaert,The Second Mother 
4186,7.9,Martin Ritt,Hud 
1813,7.9,Philip Kaufman,The Right Stuff 
4174,7.9,Stacy Peralta,Riding Giants 
3329,7.9,,Star Wars: The Clone Wars             
3657,7.9,John Frankenheimer,The Train 
788,7.9,Cameron Crowe,Almost Famous 
2863,7.9,Clint Eastwood,Letters from Iwo Jima 
1606,7.9,Nick Cassavetes,The Notebook 
4554,7.9,Robert Kenner,"Food, Inc. "
4115,7.9,,BrainDead             
3595,7.9,Darren Aronofsky,The Wrestler 
0,7.9,James Cameron,Avatar 
2727,7.9,,The Company             
2493,7.9,Yimou Zhang,Hero 
4992,7.9,Dave Carroll,Bending Steel 
23,7.9,Peter Jackson,The Hobbit: The Desolation of Smaug 
2449,7.9,Tim Burton,Ed Wood 
89,7.9,Don Hall,Big Hero 6 
353,7.9,John Lasseter,Toy Story 2 
2487,7.9,George Cukor,My Fair Lady 
2492,7.9,John Carpenter,Halloween 
4821,7.9,John Carpenter,Halloween 
2558,7.9,Edgar Wright,Hot Fuzz 
69,7.9,Jon Favreau,Iron Man 
2667,7.9,Paul Thomas Anderson,Boogie Nights 
2619,7.9,John Carpenter,Halloween 
2605,7.9,Ang Lee,"Crouching Tiger, Hidden Dragon "
2177,7.9,Tim Burton,Edward Scissorhands 
4931,7.9,John Carney,Once 
2418,7.9,Edward Zwick,Glory 
2666,7.9,James Ivory,The Remains of the Day 
162,7.9,Dean DeBlois,How to Train Your Dragon 2 
75,7.9,Doug Liman,Edge of Tomorrow 
1993,7.9,Roger Donaldson,The World's Fastest Indian 
99,7.9,Peter Jackson,The Hobbit: An Unexpected Journey 
4079,7.8,,Robot Chicken             
4481,7.8,John Ford,How Green Was My Valley 
4080,7.8,Howard Hawks,Red River 
4088,7.8,Deepa Mehta,Water 
1196,7.8,James Wan,The Conjuring 2 
2454,7.8,Kenneth Branagh,Hamlet 
4102,7.8,Todd Solondz,Happiness 
2460,7.8,Michael Haneke,The White Ribbon 
2611,7.8,Steven Spielberg,The Color Purple 
4093,7.8,Mel Stuart,Willy Wonka & the Chocolate Factory 
2959,7.8,Alexander Payne,Nebraska 
2973,7.8,Richard Curtis,About Time 
1056,7.8,Deepa Mehta,Earth 
2133,7.8,Trey Parker,South Park: Bigger Longer & Uncut 
2414,7.8,Alejandro G. Iñárritu,Birdman or (The Unexpected Virtue of Ignorance) 
1756,7.8,Adam McKay,The Big Short 
1393,7.8,Andrew Niccol,Gattaca 
1397,7.8,Todd Phillips,The Hangover 
4047,7.8,Guy Hamilton,Goldfinger 
504,7.8,Jacques Perrin,Oceans 
2119,7.8,Christian Carion,Joyeux Noel 
2653,7.8,Nicolas Winding Refn,Drive 
2118,7.8,Paul Verhoeven,Black Book 
4493,7.8,Paul McGuigan,Lucky Number Slevin 
3624,7.8,John Cameron Mitchell,Hedwig and the Angry Inch 
516,7.8,Mark Osborne,The Little Prince 
2947,7.8,Josh Boone,The Fault in Our Stars 
3373,7.8,Justin Tipping,Kicks 
290,7.8,Ridley Scott,American Gangster 
1188,7.8,Robert Zemeckis,Back to the Future Part II 
975,7.8,David Fincher,The Game 
4168,7.8,Mel Brooks,Blazing Saddles 
3556,7.8,John Singleton,Boyz n the Hood 
195,7.8,Alfonso Cuarón,Harry Potter and the Prisoner of Azkaban 
4880,7.8,Sam Martin,UnDivided 
4225,7.8,James Algar,Fantasia 
1592,7.8,Boaz Yakin,Remember the Titans 
4226,7.8,William Friedkin,The French Connection 
4318,7.8,Ralph Ziman,Gangster's Paradise: Jerusalema 
48,7.8,J.J. Abrams,Star Trek Into Darkness 
3586,7.8,Robert Redford,Ordinary People 
3585,7.8,Robert Stevenson,Mary Poppins 
1436,7.8,Mike Newell,Donnie Brasco 
2547,7.8,Wes Anderson,Moonrise Kingdom 
2542,7.8,Sidney Lumet,The Verdict 
4282,7.8,Kenneth Branagh,Hamlet 
3835,7.8,Shona Auerbach,Dear Frankie 
5008,7.8,Kevin Smith,Clerks 
3161,7.8,Mike Judge,Office Space 
1236,7.8,Mel Gibson,Apocalypto 
3101,7.8,Ken Annakin,The Longest Day 
3856,7.8,Mike van Diem,Character 
4816,7.8,Henry Alex Rubin,Murderball 
4353,7.8,James Marsh,Man on Wire 
1052,7.8,James Mangold,3:10 to Yuma 
3888,7.8,Sofia Coppola,Lost in Translation 
1211,7.8,Michael Mann,The Last of the Mohicans 
4171,7.8,James Ivory,Maurice 
1638,7.8,Joe Wright,Atonement 
767,7.8,Phil Lord,The Lego Movie 
2180,7.8,William Friedkin,The French Connection 
3058,7.8,Lasse Hallström,What's Eating Gilbert Grape 
30,7.8,Sam Mendes,Skyfall 
4388,7.8,Fred Zinnemann,From Here to Eternity 
4385,7.8,Ritesh Batra,The Lunchbox 
994,7.8,,A Touch of Frost             
4375,7.8,Tom Tykwer,Run Lola Run 
246,7.8,Alfonso Cuarón,Gravity 
2004,7.8,Giuseppe Tornatore,The Best Offer 
1295,7.8,Wes Anderson,Fantastic Mr. Fox 
4263,7.8,Sylvain Chomet,The Triplets of Belleville 
101,7.8,David Fincher,The Curious Case of Benjamin Button 
4706,7.8,Mark Sandrich,Top Hat 
3989,7.8,,Empire             
364,7.8,David Fincher,The Girl with the Dragon Tattoo 
2906,7.8,Mark Herman,The Boy in the Striped Pajamas 
398,7.8,Paul Greengrass,The Bourne Supremacy 
400,7.8,Steven Soderbergh,Ocean's Eleven 
90,7.8,Rich Moore,Wreck-It Ralph 
1346,7.8,,3rd Rock from the Sun             
79,7.8,Jon Favreau,The Jungle Book 
2904,7.8,John Cromwell,The Prisoner of Zenda 
5036,7.8,Anthony Vallone,The Mongol King 
7,7.8,Nathan Greno,Tangled 
2900,7.8,James Foley,Glengarry Glen Ross 
3493,7.8,Sam Mendes,Skyfall 
2137,7.8,David O. Russell,Silver Linings Playbook 
2256,7.8,Stephen Chow,Kung Fu Hustle 
1908,7.8,Bernardo Bertolucci,The Last Emperor 
2384,7.8,James Schamus,Indignation 
1138,7.8,Andrew Davis,The Fugitive 
1846,7.8,Joel Coen,"O Brother, Where Art Thou? "
877,7.8,Clint Eastwood,Changeling 
422,7.8,Bob Fosse,All That Jazz 
1805,7.8,Jon Favreau,The Jungle Book 
1898,7.8,Marc Forster,Finding Neverland 
3985,7.8,Jim Abrahams,Airplane! 
1892,7.8,George P. Cosmatos,Tombstone 
2406,7.8,John McTiernan,Predator 
4003,7.8,Sam Raimi,Evil Dead II 
1812,7.8,Paul McGuigan,Lucky Number Slevin 
86,7.8,Anthony Russo,Captain America: The Winter Soldier 
2859,7.8,Spike Jonze,Being John Malkovich 
3960,7.8,Howard Hughes,Hell's Angels 
1776,7.8,Joe Wright,Pride & Prejudice 
102,7.8,Matthew Vaughn,X-Men: First Class 
610,7.7,Matthew Vaughn,Stardust 
4781,7.7,Paul Greengrass,Bloody Sunday 
1627,7.7,Woody Allen,Midnight in Paris 
3607,7.7,Kevin Macdonald,The Last King of Scotland 
3943,7.7,Jorge Ramírez Suárez,"Buen Día, Ramón "
893,7.7,Gabriele Muccino,Seven Pounds 
1137,7.7,Ben Affleck,Argo 
2466,7.7,,Carlos             
3309,7.7,Hong-jin Na,The Wailing 
2386,7.7,Spike Jonze,Adaptation. 
1816,7.7,Alex Proyas,Dark City 
3565,7.7,Caroline Link,Nowhere in Africa 
1212,7.7,Taylor Hackford,Ray 
3574,7.7,Anton Corbijn,Control 
3060,7.7,Mike Leigh,Vera Drake 
3059,7.7,Philip Saville,The Visual Bible: The Gospel of John 
165,7.7,Zack Snyder,Watchmen 
4786,7.7,Lloyd Bacon,42nd Street 
4794,7.7,Stacy Peralta,Dogtown and Z-Boys 
2858,7.7,Alex Garland,Ex Machina 
2849,7.7,Eric Bress,The Butterfly Effect 
3296,7.7,Kenneth Branagh,Henry V 
2819,7.7,Ang Lee,Brokeback Mountain 
4675,7.7,Robert Greenwald,Iraq for Sale: The War Profiteers 
4798,7.7,,Heroes             
2048,7.7,Ruben Fleischer,Zombieland 
709,7.7,Zack Snyder,300 
3468,7.7,Marc Webb,500 Days of Summer 
3847,7.7,,Secrets and Lies             
1230,7.7,Kevin Reynolds,The Count of Monte Cristo 
2777,7.7,Stephen Frears,Dangerous Liaisons 
3139,7.7,Wes Anderson,Rushmore 
4835,7.7,Jean-Luc Godard,Pierrot le Fou 
2154,7.7,Steven Spielberg,Close Encounters of the Third Kind 
2772,7.7,Ted Kotcheff,First Blood 
4256,7.7,Stanley Kubrick,Lolita 
3846,7.7,Spike Lee,25th Hour 
2535,7.7,Ang Lee,Sense and Sensibility 
3178,7.7,François Girard,The Red Violin 
3689,7.7,Shane Meadows,A Room for Romeo Brass 
932,7.7,James L. Brooks,As Good as It Gets 
2389,7.7,Terry Gilliam,Fear and Loathing in Las Vegas 
1517,7.7,Hayao Miyazaki,Ponyo 
633,7.7,Pierre Coffin,Despicable Me 
746,7.7,Tony Scott,Man on Fire 
4199,7.7,Larry Charles,Religulous 
744,7.7,Henry Selick,Coraline 
5038,7.7,Scott Smith,Signed Sealed Delivered 
434,7.7,David Fincher,Zodiac 
4216,7.7,Shane Meadows,This Is England 
3859,7.7,Chan-wook Park,Lady Vengeance 
2572,7.7,Jonathan Demme,Philadelphia 
3576,7.7,Wolfgang Becker,Good Bye Lenin! 
2818,7.7,Rob Reiner,Flipped 
3949,7.7,Fernando León de Aranoa,Mondays in the Sun 
4328,7.7,Orson Welles,The Lady from Shanghai 
2016,7.7,Stephen Frears,Dangerous Liaisons 
396,7.7,Robert Zemeckis,Cast Away 
158,7.7,Edward Zwick,The Last Samurai 
4719,7.7,Richard Lester,A Hard Day's Night 
2641,7.7,James Marsh,The Theory of Everything 
4586,7.7,Alex Gibney,Taxi to the Dark Side 
4915,7.7,Ricki Stern,The Trials of Darryl Hunt 
4759,7.7,Hao Ning,Crazy Stone 
1772,7.7,Matthew Vaughn,Kick-Ass 
3419,7.7,,Wuthering Heights             
1014,7.7,David Cronenberg,Eastern Promises 
284,7.7,Steven Spielberg,Minority Report 
1407,7.7,Ethan Coen,True Grit 
